Player,variable,deciles,type_variable
J. Frimpong,Passes to final third per 90,21,Buildup
J. Frimpong,Progressive passes per 90,95,Buildup
J. Frimpong,Lateral passes per 90,62,Positioning
J. Frimpong,Long passes per 90,79,Buildup
J. Frimpong,Shots per 90,3,Positioning
J. Frimpong,Touches in box per 90,58,Chance creation
J. Frimpong,Progressive runs per 90,99,Buildup
J. Frimpong,Dribbles per 90,88,Chance creation
J. Frimpong,Back passes per 90,78,Positioning
J. Frimpong,Interceptions per 90,92,Defense
J. Frimpong,Shots blocked per 90,96,Defense
J. Frimpong,Fouls per 90,22,Defense
K. Laimer,Passes to final third per 90,84,Buildup
K. Laimer,Progressive passes per 90,92,Buildup
K. Laimer,Lateral passes per 90,87,Positioning
K. Laimer,Long passes per 90,94,Buildup
K. Laimer,Shots per 90,20,Positioning
K. Laimer,Touches in box per 90,47,Chance creation
K. Laimer,Progressive runs per 90,36,Buildup
K. Laimer,Dribbles per 90,55,Chance creation
K. Laimer,Back passes per 90,86,Positioning
K. Laimer,Interceptions per 90,83,Defense
K. Laimer,Shots blocked per 90,89,Defense
K. Laimer,Fouls per 90,100,Defense
C. Baumgartner,Passes to final third per 90,49,Buildup
C. Baumgartner,Progressive passes per 90,34,Buildup
C. Baumgartner,Lateral passes per 90,31,Positioning
C. Baumgartner,Long passes per 90,84,Buildup
C. Baumgartner,Shots per 90,63,Positioning
C. Baumgartner,Touches in box per 90,82,Chance creation
C. Baumgartner,Progressive runs per 90,29,Buildup
C. Baumgartner,Dribbles per 90,34,Chance creation
C. Baumgartner,Back passes per 90,35,Positioning
C. Baumgartner,Interceptions per 90,58,Defense
C. Baumgartner,Shots blocked per 90,82,Defense
C. Baumgartner,Fouls per 90,88,Defense
A. Adli,Passes to final third per 90,45,Buildup
A. Adli,Progressive passes per 90,55,Buildup
A. Adli,Lateral passes per 90,53,Positioning
A. Adli,Long passes per 90,2,Buildup
A. Adli,Shots per 90,92,Positioning
A. Adli,Touches in box per 90,94,Chance creation
A. Adli,Progressive runs per 90,86,Buildup
A. Adli,Dribbles per 90,82,Chance creation
A. Adli,Back passes per 90,37,Positioning
A. Adli,Interceptions per 90,84,Defense
A. Adli,Shots blocked per 90,66,Defense
A. Adli,Fouls per 90,92,Defense
J. Hofmann,Passes to final third per 90,65,Buildup
J. Hofmann,Progressive passes per 90,54,Buildup
J. Hofmann,Lateral passes per 90,69,Positioning
J. Hofmann,Long passes per 90,45,Buildup
J. Hofmann,Shots per 90,81,Positioning
J. Hofmann,Touches in box per 90,96,Chance creation
J. Hofmann,Progressive runs per 90,49,Buildup
J. Hofmann,Dribbles per 90,19,Chance creation
J. Hofmann,Back passes per 90,95,Positioning
J. Hofmann,Interceptions per 90,67,Defense
J. Hofmann,Shots blocked per 90,22,Defense
J. Hofmann,Fouls per 90,36,Defense
O. Mangala,Passes to final third per 90,53,Buildup
O. Mangala,Progressive passes per 90,12,Buildup
O. Mangala,Lateral passes per 90,72,Positioning
O. Mangala,Long passes per 90,22,Buildup
O. Mangala,Shots per 90,8,Positioning
O. Mangala,Touches in box per 90,31,Chance creation
O. Mangala,Progressive runs per 90,24,Buildup
O. Mangala,Dribbles per 90,64,Chance creation
O. Mangala,Back passes per 90,56,Positioning
O. Mangala,Interceptions per 90,57,Defense
O. Mangala,Shots blocked per 90,82,Defense
O. Mangala,Fouls per 90,58,Defense
V. Grifo,Passes to final third per 90,71,Buildup
V. Grifo,Progressive passes per 90,88,Buildup
V. Grifo,Lateral passes per 90,69,Positioning
V. Grifo,Long passes per 90,84,Buildup
V. Grifo,Shots per 90,80,Positioning
V. Grifo,Touches in box per 90,40,Chance creation
V. Grifo,Progressive runs per 90,31,Buildup
V. Grifo,Dribbles per 90,51,Chance creation
V. Grifo,Back passes per 90,70,Positioning
V. Grifo,Interceptions per 90,41,Defense
V. Grifo,Shots blocked per 90,20,Defense
V. Grifo,Fouls per 90,4,Defense
D. Lukébakio,Passes to final third per 90,4,Buildup
D. Lukébakio,Progressive passes per 90,6,Buildup
D. Lukébakio,Lateral passes per 90,9,Positioning
D. Lukébakio,Long passes per 90,15,Buildup
D. Lukébakio,Shots per 90,60,Positioning
D. Lukébakio,Touches in box per 90,59,Chance creation
D. Lukébakio,Progressive runs per 90,94,Buildup
D. Lukébakio,Dribbles per 90,92,Chance creation
D. Lukébakio,Back passes per 90,57,Positioning
D. Lukébakio,Interceptions per 90,28,Defense
D. Lukébakio,Shots blocked per 90,44,Defense
D. Lukébakio,Fouls per 90,81,Defense
P. Wimmer,Passes to final third per 90,74,Buildup
P. Wimmer,Progressive passes per 90,59,Buildup
P. Wimmer,Lateral passes per 90,4,Positioning
P. Wimmer,Long passes per 90,33,Buildup
P. Wimmer,Shots per 90,89,Positioning
P. Wimmer,Touches in box per 90,53,Chance creation
